::1 - Thu Dec 27 2018 14:31:55 GMT+0530 (India Standard Time) - GET / HTTP/1.1 500 35 - 8 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
::1 - Thu Dec 27 2018 14:31:56 GMT+0530 (India Standard Time) - GET /favicon.ico HTTP/1.1 200 106331 - 241 http://localhost:3000/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
::1 - Thu Dec 27 2018 14:32:29 GMT+0530 (India Standard Time) - GET / HTTP/1.1 500 35 - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
::1 - Thu Dec 27 2018 14:34:44 GMT+0530 (India Standard Time) - GET /users HTTP/1.1 200 23 - 2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
::1 - Thu Dec 27 2018 14:37:18 GMT+0530 (India Standard Time) - GET / HTTP/1.1 200 684 - 94 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
::1 - Thu Dec 27 2018 14:37:18 GMT+0530 (India Standard Time) - GET /javascripts/html5shiv.min.js HTTP/1.1 200 2730 - 23 http://localhost:3000/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
::1 - Thu Dec 27 2018 14:37:18 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 200 111 - 30 http://localhost:3000/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
::1 - Thu Dec 27 2018 14:37:18 GMT+0530 (India Standard Time) - GET /javascripts/respond.matchmedia.addListener.min.js HTTP/1.1 200 5235 - 31 http://localhost:3000/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
::1 - Thu Dec 27 2018 14:37:18 GMT+0530 (India Standard Time) - GET /javascripts/respond.min.js HTTP/1.1 200 4593 - 45 http://localhost:3000/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
::1 - Thu Dec 27 2018 14:37:18 GMT+0530 (India Standard Time) - GET /javascripts/html5shiv-printshiv.min.js HTTP/1.1 200 4366 - 96 http://localhost:3000/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
::1 - Thu Dec 27 2018 14:37:18 GMT+0530 (India Standard Time) - GET /ficon.ico HTTP/1.1 200 106331 - 41 http://localhost:3000/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
